Type,Section,W,A,d,bf,tw,tf,kdes,k,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W,W8X48,48.0,14.1,8.5,8.11,0.4,0.685,1.08,0.8125,184.0,49.0,43.2,3.61,60.9,22.9,15.0,2.08,1.96,931
W,W8X40,40.0,11.7,8.25,8.07,0.36,0.56,0.954,0.8125,146.0,39.8,35.5,3.53,49.1,18.5,12.2,2.04,1.12,726
W,W8X35,35.0,10.3,8.12,8.02,0.31,0.495,0.889,0.8125,127.0,34.7,31.2,3.51,42.6,16.1,10.6,2.03,0.769,619
W,W8X31,31.0,9.13,8,8,0.285,0.435,0.829,0.75,110.0,30.4,27.5,3.47,37.1,14.1,9.27,2.02,0.536,530
W,W8X28,28.0,8.25,8.06,6.54,0.285,0.465,0.859,0.625,98.0,27.2,24.3,3.45,21.7,10.1,6.63,1.62,0.537,312
W,W8X24,24.0,7.08,7.93,6.5,0.245,0.4,0.794,0.5625,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,0.346,259
W,W8X21,21.0,6.16,8.28,5.27,0.25,0.4,0.7,0.5625,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,0.282,152
W,W8X18,18.0,5.26,8.14,5.25,0.23,0.33,0.63,0.5625,61.9,17.0,15.2,3.43,7.97,4.66,3.04,1.23,0.172,122
W,W8X15,15.0,4.44,8.11,4.02,0.245,0.315,0.615,0.5625,48.0,13.6,11.8,3.29,3.41,2.67,1.7,0.876,0.137,51.8
W,W8X13,13.0,3.84,7.99,4,0.23,0.255,0.555,0.5625,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,0.0871,40.8
W,W8X10,10.0,2.96,7.89,3.94,0.17,0.205,0.505,0.5,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,0.0426,30.9
W,W6X25,25.0,7.34,6.38,6.08,0.32,0.455,0.705,0.5625,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,0.461,150
W,W6X20,20.0,5.87,6.2,6.02,0.26,0.365,0.615,0.5625,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,0.24,113
W,W6X15,15.0,4.43,5.99,5.99,0.23,0.26,0.51,0.5625,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,0.101,76.5
W,W6X16,16.0,4.74,6.28,4.03,0.26,0.405,0.655,0.5625,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.967,0.223,38.2
W,W6X12,12.0,3.55,6.03,4,0.23,0.28,0.53,0.5625,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.918,0.0903,24.7
W,W6X9,9.0,2.68,5.9,3.94,0.17,0.215,0.465,0.5,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,0.0405,17.7
W,W6X8.5,8.5,2.52,5.83,3.94,0.17,0.195,0.445,0.5,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,0.0333,15.8
W,W5X19,19.0,5.56,5.15,5.03,0.27,0.43,0.73,0.4375,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,0.316,50.9
W,W5X16,16.0,4.71,5.01,5,0.24,0.36,0.66,0.4375,21.4,9.63,8.55,2.13,7.51,4.58,3.0,1.26,0.192,40.6
W,W4X13,13.0,3.83,4.16,4.06,0.28,0.345,0.595,0.5,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1.0,0.151,14
